rname,raddress,roverall_raw,rfood_raw,rservice_raw,rvalue_raw,ratmo_raw,cname,mname,roverall,rfood,rservice,rvalue,ratmo
Full Sail Brewing Co,"506 Columbia St, Hood River, OR 97031-2000",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Hummus Plate,80,80,80,80,90
Abby's Legendary Pizza,"1938 S Highway 97, Redmond, OR 97756-8869",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,80,90,80,80,80
White Buffalo Wine Bar and Bistro,"4040 Westcliff Dr, Hood River, OR 97031-8711",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Pasta,90,80,90,80,80
Cascade Grill,"110 Opal St NE, Albany, OR 97322-7077",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Crab Stuffed Mushrooms,80,80,80,80,80
Three River's Grill,"601 Oak St, Hood River, OR 97031-1811",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Carne Asada Tacos,80,80,80,80,90
Egg River Cafe,"1313 Oak St, Hood River, OR 97031-1411",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,American,,90,90,80,80,70
Mariachi Loco Mexican Restaurant,"647 SE Jackson St, Roseburg, OR 97470",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Latin,,80,80,80,80,70
Olive Garden,"6355 Meadows Rd, Lake Oswego, OR 97035-3263",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Italian,,80,90,90,80,80
Madaline's Grill Mexican American Bistro,"2414 S Highway 97, Redmond, OR 97756-8874",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,San francisco french toast,80,90,90,80,80
Rivershore Bar & Grill,"1900 Clackamette Dr, Oregon City, OR 97045-1052",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,80,80,80,80,80
Mazatlan Mexican Restaurant,"1302 S Highway 97, Redmond, OR 97756-9575",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Nachos Mazatlan,90,80,90,80,90
Divots Restaurant At Indian,"3605 Brookside Dr, Hood River, OR 97031-8538",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,American,,90,90,80,80,90
Vault 244 Bistro,"244 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Vegetarian Friendly,,90,90,90,80,90
White Buffalo Wine Bar and Bistro,"4040 Westcliff Dr, Hood River, OR 97031-8711",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,International,,90,80,90,80,80
Loggers Tap House,"2060 NW Stewart Pkwy, Roseburg, OR 97471-1647",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Pizza,,80,80,80,80,70
Bugatti's Ristorante,"18740 Willamette Dr, Suite A, West Linn, OR 97068-1719",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Steamer Clams or Mussels,80,80,80,80,80
Novak's Hungarian Restaurant,"208 2nd Ave SW, Albany, OR 97321-2233",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,The European,90,90,90,80,80
Shanti's Indian Cuisine,"780 NW Garden Valley Blvd, Roseburg, OR 97471-1955",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Indian,,80,80,80,80,70
The Pita Pit,"1122 NW Garden Valley Blvd, Roseburg, OR 97471-1930",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,,,90,90,90,#VALUE!,90
Rodeo Steakhouse & Grill,"1200 NW Garden Valley Blvd, Roseburg, OR 97471-1925",3.5,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Fried Zucchini,70,70,80,80,70
Vault 244 Bistro,"244 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Crudités Board,90,90,90,80,90
Novak's Hungarian Restaurant,"208 2nd Ave SW, Albany, OR 97321-2233",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,European,,90,90,90,80,80
The Open Range,"17250 Highway 66, About 30 minutes east of Ashland, Ashland, OR 97520-9406",5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,ui_bubble_rating bubble_50,American,,100,90,100,#VALUE!,100
Beasys On The Creek,"51 Water St Ste 333, Ashland, OR 97520-1841",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Seared Diver Scallops with Lemon,80,80,80,80,90
Thai Pepper,"84 N Main St, Ashland, OR 97520-2782",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Asian,,80,80,80,80,80
Crazy Pepper,"103 4th St, Hood River, OR 97031-2072",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Mozzarella Sticks,80,80,90,80,80
Chuckie Pies,"370 1st St, Lake Oswego, OR 97034-3102",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,Vegetarian Friendly,,90,90,90,#VALUE!,90
Elmer's Restaurant - Albany,"2802 Santiam Hwy SE, Albany, OR 97322-5253",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,80,80,90,80,80
Seasons & Regions Seafood Grill,"6660 SW Capitol Hwy, Portland, OR 97219-1915",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Oregon Rockfish Parmesan,90,90,90,80,80
Coasters Crossing,"1757 Washington St, Oregon City, OR 97045-1039",5,null,null,null,null,American,,100,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Martino's Restaurant & Bar,"58 E Main St, Ashland, OR 97520-1814",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Seafood Fettuccine,80,80,80,80,80
House of Noodle,"2025 Santiam Hwy SE, Albany, OR 97322-4930",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Vegetarian Friendly,,80,80,80,80,70
First Burger,"210 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,The Hottie,90,90,90,80,80
Tucci Ristorante,"220 A Ave, Ste 108, Lake Oswego, OR 97034-3195",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Vegetarian Friendly,,90,90,90,80,90
Redland Cafe,"18305 S Redland Rd, Oregon City, OR 97045-8063",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,,80,90,80,80,#VALUE!
Callahan's Mountain Lodge,"7100 Old Highway 99 S, Ashland, OR 97520-8747",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Steakhouse,,80,80,90,80,90
Sushi Valley,"419 Beavercreek Rd, Oregon City, OR 97045-4101",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,Japanese,,80,80,80,80,#VALUE!
True Kitchen + Bar,"629 SE Main St, Roseburg, OR 97470-4932",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,American,,90,90,90,80,#VALUE!
Original Breakfast,"3225 Santiam Hwy SE, Albany, OR 97322-5263",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Vegetarian Friendly,,80,80,80,80,70
Rivershore Bar & Grill,"1900 Clackamette Dr, Oregon City, OR 97045-1052",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,80,80,80,80,80
Novak's Hungarian Restaurant,"208 2nd Ave SW, Albany, OR 97321-2233",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Eastern European,,90,90,90,80,80
New Hing's Restaurant,"517 Main St, Oregon City, OR 97045-1810",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,,Pot Stickers,80,80,80,80,60
Parrott House,"1851 SE Stephens St, Roseburg, OR 97470-4058",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,Vegetarian Friendly,,80,80,80,80,#VALUE!
The Pita Pit,"1122 NW Garden Valley Blvd, Roseburg, OR 97471-1930",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,Greek,,90,90,90,#VALUE!,90
Dawg House II,"507 SW 8th St, Redmond, OR 97756-2749",4,ui_bubble_rating bubble_35,ui_bubble_rating bubble_35,null,null,American,,80,70,70,#VALUE!,#VALUE!
Soup 2 Nuts,"457 SW 6th St, Redmond, OR 97756-2204",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,Cafe,,90,90,90,80,60
House of Noodle,"2025 Santiam Hwy SE, Albany, OR 97322-4930",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Steamed Mussels in White Wine,80,80,80,80,70
Sushi Kata Japanese Restaurant,"13809 SE McLoughlin Blvd, Milwaukie, OR 97222-7161",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,90,90,90,80,80
"Hearsay Restaurant, Lounge, & Garden","40 S 1st St, Ashland, OR 97520-2738",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,Vegetarian Friendly,,90,90,80,80,#VALUE!
Simon's at the Columbia Gorge Hotel,"4000 Westcliff Dr, Hood River, OR 97031-8711",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Harvest Salad,80,80,80,80,90
True Kitchen + Bar,"629 SE Main St, Roseburg, OR 97470-4932",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,,,90,90,90,80,#VALUE!
Sauce,"1640 Ashland St, Ashland, OR 97520-2327",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,Vegetarian Friendly,,90,80,70,80,60
Riverside Restaurant,"1108 E Marina Way, Best Western Plus Hood River Inn, Hood River, OR 97031-2378",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,BOB'S RED MILL OATMEAL,90,90,90,80,90
Burrito Vaquero Mexican Restaurant,"850 Garden Valley Blvd, Roseburg, OR 97470",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Spanish,,90,90,90,80,80
Diego's Spirited Kitchen,"447 SW 6th St, Redmond, OR 97756-2204",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Tropical Coconut Shrimp Tacos,90,90,90,80,80
Babica Hen Cafe,"15964 Boones Ferry Rd, Lake Oswego, OR 97035-4361",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,90,90,90,80,80
Ami Japanese Restaurant,"634 SE Cass Ave, Roseburg, OR 97470-3155",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_30,Asian,,80,80,70,80,60
Tony's Smokehouse & Cannery,"1316 Washington St, Oregon City, OR 97045-1649",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,,90,90,80,80,#VALUE!
Chart House,"5700 SW Terwilliger, Portland, OR 97239",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,American,,80,80,90,80,90
Lum Yuen,"1236 Price Rd SE, Albany, OR 97322-7016",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Asian,,80,80,90,80,70
Tavern on Kruse,"4835 Meadows Rd Ste 133, Lake Oswego, OR 97035-2624",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,"Dungeness Crab, Artichoke & Herb Dip",80,80,80,80,#VALUE!
Bugatti's Oregon City,"334 Warner Milne Rd, Oregon City, OR 97045-4046",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Clams,80,80,90,80,80
Martino's Restaurant & Bar,"58 E Main St, Ashland, OR 97520-1814",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,80,80,80,80,80
First Burger,"210 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,The Whole Farm,90,90,90,80,80
Sesame Asian Kitchen,"21 Winburn Way, Ashland, OR 97520-2735",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Edamame,80,80,80,80,80
New York City Sub Shop,"946 SE Veterans Way, Redmond, OR 97756",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,Midtown Bend,90,90,80,80,#VALUE!
Dang's Thai Kitchen,"670 N State St, Lake Oswego, OR 97034-2437",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Vegetarian Friendly,,80,80,80,80,80
Kowloon Restaurant,"2686 NE Diamond Lake Blvd, Roseburg, OR 97470-3647",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,,80,80,80,80,70
five-0-three restaurant & bar,"21900 Willamette Dr, West Linn, OR 97068-3280",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,grilled romaine salad,80,80,90,80,80
One Street Down Cafe,"124 SW 7th St, Redmond, OR 97756-2110",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Greek Omelet,90,90,90,80,90
Bugatti's Ristorante,"18740 Willamette Dr, Suite A, West Linn, OR 97068-1719",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Charcuterie,80,80,80,80,80
Rodeo Steakhouse & Grill,"1200 NW Garden Valley Blvd, Roseburg, OR 97471-1925",3.5,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Hand Battered Mushrooms,70,70,80,80,70
No Baloney,"2250 14th Ave SE, Albany, OR 97322-8601",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,null,American,,90,90,100,#VALUE!,#VALUE!
Chuckie Pies,"370 1st St, Lake Oswego, OR 97034-3102",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,Pizza,,90,90,90,#VALUE!,90
Bette's Place,"416 Oak St, Hood River, OR 97031-2065",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Hamburger,90,90,90,80,80
Super Torta,"710 Washington St, Oregon City, OR 97045-1943",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_30,Vegetarian Friendly,,90,90,90,#VALUE!,60
Granny's Mini Hut,"346 NE Ward Ave., Roseburg, OR 97470",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_50,null,null,American,,90,90,100,#VALUE!,#VALUE!
Oswego Grill,"7 Centerpointe Dr, Lake Oswego, OR 97035-8601",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,California Roll,90,90,90,80,90
Carino's Italian,"1825 14th Ave SE, Albany, OR 97322-8502",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Baked Stuffed Mushrooms,80,80,80,80,70
Aji Tram Restaurant and Bar,"4477 Lakeview Blvd, Lake Oswego, OR 97035-5556",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Asian,,90,90,90,80,90
Stanford's Restaurant and Bar,"14801 Kruse Oaks Blvd, Lake Oswego, OR 97035-8600",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,American,,80,80,80,80,80
Ohana Hawaiian Cafe,"10608 SE Main St, Milwaukie, OR 97222-7513",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Gluten Free Options,,90,90,90,80,80
House of Noodle,"2025 Santiam Hwy SE, Albany, OR 97322-4930",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Chicken Sa-te,80,80,80,80,70
Mazatlan Mexican Restaurant,"1302 S Highway 97, Redmond, OR 97756-9575",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Vegetarian Friendly,,90,80,90,80,90
Brix Grill,"527 SE Jackson St, Roseburg, OR 97470-4936",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Vegetarian Friendly,,90,90,90,80,90
Madaline's Grill Mexican American Bistro,"2414 S Highway 97, Redmond, OR 97756-8874",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,French Toast,80,90,90,80,80
Kowloon Restaurant,"2686 NE Diamond Lake Blvd, Roseburg, OR 97470-3647",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Grilled Halibut Steak,80,80,80,80,70
Linn City Pub,"19389 Willamette Dr, West Linn, OR 97068-2000",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Widmer Hefe,80,80,90,80,80
Tucci Ristorante,"220 A Ave, Ste 108, Lake Oswego, OR 97034-3195",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Gluten Free Options,,90,90,90,80,90
Alexander's Greek Cuisine,"643 SE Jackson St, Roseburg, OR 97470-4935",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,Mediterranean,,90,80,80,80,70
Bette's Place,"416 Oak St, Hood River, OR 97031-2065",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Cafe,,90,90,90,80,80
Sushi Okalani,"109 1st St, Hood River, OR 97031-2379",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Thom Kha,90,90,90,80,80
Double Mountain Brewery,"8 4th St Ste 204, Hood River, OR 97031-2123",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Meatball Sub,90,90,90,80,80
Saw Tooth Roadhouse,"4780 Highway 35, Hood River, OR 97031-8416",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_35,Pizza,,90,90,90,#VALUE!,70
Lum Yuen,"1236 Price Rd SE, Albany, OR 97322-7016",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,,80,80,90,80,70
Elmer's Restaurant - Roseburg,"1440 NW Mulholland Dr, Roseburg, OR 97470-1942",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,,80,80,80,80,70
The Mesquitery,"1219 12th St, Hood River, OR 97031-1603",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Shrimp Cocktail,90,80,80,80,80
Hood River Taqueria,"1210 13th St, Hood River, OR 97031-1612",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,null,ui_bubble_rating bubble_45,Mexican,,90,90,90,#VALUE!,90
Jersey Boys Pizzeria,"527 NW Elm Ave Ste 1, Redmond, OR 97756-1600",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Italian,,80,80,90,80,80
Tavern on Kruse,"4835 Meadows Rd Ste 133, Lake Oswego, OR 97035-2624",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,Humboldt Fog Savory Torte,80,80,80,80,#VALUE!
Stone Cliff Inn,"17900 S Clackamas River Dr, Hwy 224, Oregon City, OR 97045-8488",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,Spinach Artichoke Dip,80,80,80,80,90
Pangea,"272 E Main St, Ashland, OR 97520-1831",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Cafe,,90,90,80,80,80
Thai Pepper,"84 N Main St, Ashland, OR 97520-2782",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Tiger Rolls,80,80,80,80,80
First Burger,"210 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,The Iron Woman,90,90,90,80,80
Bette's Place,"416 Oak St, Hood River, OR 97031-2065",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Junior Short Stack,90,90,90,80,80
New York City Sub Shop,"946 SE Veterans Way, Redmond, OR 97756",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,null,,Redmond,90,90,80,80,#VALUE!
Egg River Cafe,"1313 Oak St, Hood River, OR 97031-1411",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Buffalo Jack Chicken Wrap,90,90,80,80,70
Shanti's Indian Cuisine,"780 NW Garden Valley Blvd, Roseburg, OR 97471-1955",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Sampler Platter,80,80,80,80,70
Original Pancake House,"8601 SW 24th Ave, Portland, OR 97219-4034",4,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,,Strawberry Waffle,80,90,80,80,70
McMenamins,"102 9th St, Oregon City, OR 97045-1839",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,,80,80,70,80,80
Beasys On The Creek,"51 Water St Ste 333, Ashland, OR 97520-1841",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,Seafood,,80,80,80,80,90
Cebu Lounge,"1108 E Marina Way, Hood River, OR 97031-2378",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,null,American,,90,90,90,80,#VALUE!
Tacho's Mexican Restaurant,"515 Molalla Ave, Oregon City, OR 97045-2635",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_35,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,"1 Enchilada, 1 Tostada",80,80,70,80,80
Oh! Teriyaki,"1630 Beavercreek Rd Ste D, Oregon City, OR 97045-4156",4.5,null,null,null,null,,Our Bento,90,#VALUE!,#VALUE!,#VALUE!,#VALUE!
First Burger,"210 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,California Burger,90,90,90,80,80
Gubanc's,"16008 Boones Ferry Rd, Lake Oswego, OR 97035-4304",4.5,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,,Orange Sesame Scallops,90,80,90,80,80
Bugatti's Oregon City,"334 Warner Milne Rd, Oregon City, OR 97045-4046",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_40,Italian,,80,80,90,80,80
Vault 244 Bistro,"244 1st Ave W, Albany, OR 97321-2224",4.5,ui_bubble_rating bubble_45,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,American,,90,90,90,80,90
Bogey's Burgers,"655 NW Greenwood Ave Ste 2, Redmond, OR 97756-1672",4,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,ui_bubble_rating bubble_40,ui_bubble_rating bubble_45,,,80,80,90,80,90
